,이름,주소,평점
0,KB국민은행 제주종합금융센터,"
제주특별자치도 제주시 남광북1길 1 제주법조타워 1,2층
(지번) 이도이동 1065-6
","
별점
2.1



19건
"
1,KB국민은행 연북로지점,"
제주특별자치도 제주시 연북로 50
(지번) 노형동 726-2
","
별점
1.3



11건
"
2,하나은행 제주금융센터,"
제주특별자치도 제주시 중앙로 58
(지번) 일도일동 1430
","
별점
3.0



8건
"
3,신한은행 제주지점,"
제주특별자치도 제주시 중앙로 166
(지번) 이도일동 1689-9
","
별점
3.0



7건
"
4,하나은행 신제주지점,"
제주특별자치도 제주시 1100로 3308 1층
(지번) 노형동 709
","
별점
2.3



12건
"
5,우리은행 제주지점,"
제주특별자치도 제주시 중앙로 56
(지번) 일도일동 1420-1
","
별점
3.0



2건
"
6,신한은행 신제주지점,"
제주특별자치도 제주시 연북로 36
(지번) 노형동 725-1
","
별점
3.0



2건
"
7,우리은행 신제주금융센터,"
제주특별자치도 제주시 연북로 14 온정빌딩 1층101호
(지번) 노형동 711-3
","
별점
2.3



3건
"
8,KB국민은행 서귀포지점,"
제주특별자치도 서귀포시 중정로 55 1층
(지번) 서귀동 293-17
","
별점
1.7



6건
"
9,우리은행 서귀포지점,"
제주특별자치도 서귀포시 중앙로 46
(지번) 서귀동 292-8
","
별점
4.0



2건
"
10,하나은행 서귀포지점,"
제주특별자치도 서귀포시 월드컵로 8
(지번) 강정동 231-2
","
별점
4.7



3건
"
11,신한은행 서귀포지점,"
제주특별자치도 서귀포시 일주동로 8707
(지번) 서귀동 302-26
","
별점
3.0



4건
"
12,NH농협은행 이도지점,"
제주특별자치도 제주시 승천로 73 한라훠프라자
(지번) 아라이동 3001-10
","
별점
4.4



5건
"
13,NH농협은행 제주중앙지점,"
제주특별자치도 제주시 오현길 75
(지번) 이도일동 1421-1
","
별점
2.3



4건
"
14,KB국민은행 공무원연금공단출장소,"
제주특별자치도 서귀포시 서호중앙로 63
(지번) 서호동 1530
","
별점
0.0



0건
"
15,NH농협은행 제주시지부,"
제주특별자치도 제주시 신대로 110
(지번) 연동 303-1
","
별점
4.0



1건
"
16,NH농협은행 제주영업부,"
제주특별자치도 제주시 서사로 56 1층
(지번) 삼도일동 794-3
","
별점
5.0



2건
"
17,NH농협은행 서광로지점,"
제주특별자치도 제주시 서광로 220
(지번) 삼도일동 570
","
별점
0.0



0건
"
18,신한은행 제주기업금융센터,"
제주특별자치도 제주시 중앙로 166
(지번) 이도일동 1689-9
","
별점
3.7



3건
"
19,IBK기업은행 제주지점,"
제주특별자치도 제주시 중앙로 286 1층
(지번) 이도이동 1019-11
","
별점
3.0



2건
"
20,NH농협은행 노형금융센터,"
제주특별자치도 제주시 노형로 407 노형타워 1층
(지번) 노형동 1288-5
","
별점
3.7



3건
"
21,Sh수협은행 일도지점,"
제주특별자치도 제주시 고마로 117 1층
(지번) 일도이동 416-3
","
별점
5.0



1건
"
